,model,gini
9,aya-101,0.10465991341011756
11,SeaLLM-7B-v2.5,0.1289608702538081
3,Meta-Llama-3-8B-Instruct,0.13509716514567954
5,mt0-xl,0.14377376512640708
12,Sailor-7B-Chat,0.1495671066415661
16,LLaMa3-8b-WangchanX-sft-Demo,0.1585864312835195
2,Mistral-7B-Instruct-v0.2,0.15898691370293885
7,bactrian-x-llama-7b-merged,0.16195925922015436
17,malaysian-llama-3-8b-instruct-16k,0.1799346910952202
8,aya-23-8B,0.18202643905338503
0,gpt-4,0.1827371431503497
1,command-r,0.19466021331874242
15,Merak-7B-v4,0.2052656777995028
10,sea-lion-7b-instruct-research,0.23299938955139393
6,bloomz-7b1,0.23407505889485877
4,falcon-7b-instruct,0.268574509733532
14,cendol-llama2-7b,0.28533124452329417
13,cendol-mt5-xl,0.39898474661673083
